seed_id,target,program_structure,concrete_opcode_or_interaction,instruction_family,input,native_verify_accept,executed_steps,register_writebacks,static_writeback_sites,main_symbol_range,opcode_census,guest_source,guest_elf
op_sra,nexus,Single operation,SRA,base-ALU,see driver,true,10,8,8,NA (whole program is the seed),ADDI:4 LW:1 SW:2 ECALL:1 SRA:1,<upstream>/nexus/prover2/machine/src/lacuna_eval.rs::build_op_elf (programmatic ElfFile; no guest toolchain),NA (built in-process)
op_srl,nexus,Single operation,SRL,base-ALU,see driver,true,10,8,8,NA (whole program is the seed),ADDI:4 LW:1 SW:2 ECALL:1 SRL:1,<upstream>/nexus/prover2/machine/src/lacuna_eval.rs::build_op_elf (programmatic ElfFile; no guest toolchain),NA (built in-process)
op_sub,nexus,Single operation,SUB,base-ALU,see driver,true,10,8,8,NA (whole program is the seed),ADDI:4 LW:1 SW:2 ECALL:1 SUB:1,<upstream>/nexus/prover2/machine/src/lacuna_eval.rs::build_op_elf (programmatic ElfFile; no guest toolchain),NA (built in-process)
op_xor,nexus,Single operation,XOR,base-ALU,see driver,true,10,8,8,NA (whole program is the seed),ADDI:4 LW:1 SW:2 ECALL:1 XOR:1,<upstream>/nexus/prover2/machine/src/lacuna_eval.rs::build_op_elf (programmatic ElfFile; no guest toolchain),NA (built in-process)
op_add,openvm,Single operation,ADD,base-ALU,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_and,openvm,Single operation,AND,base-ALU,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_div,openvm,Single operation,DIV,M-extension,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_divu,openvm,Single operation,DIVU,M-extension,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_mul,openvm,Single operation,MUL,M-extension,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_mulh,openvm,Single operation,MULH,M-extension,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_mulhsu,openvm,Single operation,MULHSU,M-extension,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_mulhu,openvm,Single operation,MULHU,M-extension,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_or,openvm,Single operation,OR,base-ALU,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_rem,openvm,Single operation,REM,M-extension,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_remu,openvm,Single operation,REMU,M-extension,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_sll,openvm,Single operation,SLL,base-ALU,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_slt,openvm,Single operation,SLT,base-ALU,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_sltu,openvm,Single operation,SLTU,base-ALU,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_sra,openvm,Single operation,SRA,base-ALU,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
